"slot","age","year","unit","season","area","iter","data","units"
"catch.n","6",1981,"unique","all","unique","1",3757,"thousands"
"catch.n","7",1981,"unique","all","unique","1",973,"thousands"
"catch.n","8",1981,"unique","all","unique","1",909,"thousands"
"catch.n","9",1981,"unique","all","unique","1",786,"thousands"
"catch.n","10",1981,"unique","all","unique","1",932,"thousands"
"catch.n","1",1982,"unique","all","unique","1",2697,"thousands"
"catch.n","2",1982,"unique","all","unique","1",26799,"thousands"
"catch.n","3",1982,"unique","all","unique","1",46375,"thousands"
"catch.n","4",1982,"unique","all","unique","1",1868,"thousands"
"catch.n","5",1982,"unique","all","unique","1",3584,"thousands"
"catch.n","6",1982,"unique","all","unique","1",4855,"thousands"
"catch.n","7",1982,"unique","all","unique","1",1701,"thousands"
"catch.n","8",1982,"unique","all","unique","1",623,"thousands"
"catch.n","9",1982,"unique","all","unique","1",613,"thousands"
"catch.n","10",1982,"unique","all","unique","1",1295,"thousands"
"catch.n","1",1983,"unique","all","unique","1",391,"thousands"
"catch.n","2",1983,"unique","all","unique","1",34545,"thousands"
"catch.n","3",1983,"unique","all","unique","1",41551,"thousands"
"catch.n","4",1983,"unique","all","unique","1",21273,"thousands"
"catch.n","5",1983,"unique","all","unique","1",626,"thousands"
"catch.n","6",1983,"unique","all","unique","1",1383,"thousands"
"catch.n","7",1983,"unique","all","unique","1",1958,"thousands"
"catch.n","8",1983,"unique","all","unique","1",982,"thousands"
"catch.n","9",1983,"unique","all","unique","1",388,"thousands"
"catch.n","10",1983,"unique","all","unique","1",1181,"thousands"
"catch.n","1",1984,"unique","all","unique","1",192,"thousands"
"catch.n","2",1984,"unique","all","unique","1",30839,"thousands"
"catch.n","3",1984,"unique","all","unique","1",44081,"thousands"
"catch.n","4",1984,"unique","all","unique","1",22631,"thousands"
"catch.n","5",1984,"unique","all","unique","1",8821,"thousands"
"catch.n","6",1984,"unique","all","unique","1",744,"thousands"
"catch.n","7",1984,"unique","all","unique","1",857,"thousands"
"catch.n","8",1984,"unique","all","unique","1",1047,"thousands"
"catch.n","9",1984,"unique","all","unique","1",526,"thousands"
"catch.n","10",1984,"unique","all","unique","1",897,"thousands"
"catch.n","1",1985,"unique","all","unique","1",163,"thousands"
"catch.n","2",1985,"unique","all","unique","1",16449,"thousands"
"catch.n","3",1985,"unique","all","unique","1",42773,"thousands"
"catch.n","4",1985,"unique","all","unique","1",20079,"thousands"
"catch.n","5",1985,"unique","all","unique","1",9307,"thousands"
"catch.n","6",1985,"unique","all","unique","1",3520,"thousands"
"catch.n","7",1985,"unique","all","unique","1",207,"thousands"
"catch.n","8",1985,"unique","all","unique","1",375,"thousands"
"catch.n","9",1985,"unique","all","unique","1",631,"thousands"
"catch.n","10",1985,"unique","all","unique","1",965,"thousands"
"catch.n","1",1986,"unique","all","unique","1",372,"thousands"
"catch.n","2",1986,"unique","all","unique","1",9304,"thousands"
"catch.n","3",1986,"unique","all","unique","1",18381,"thousands"
"catch.n","4",1986,"unique","all","unique","1",17591,"thousands"
"catch.n","5",1986,"unique","all","unique","1",7698,"thousands"
"catch.n","6",1986,"unique","all","unique","1",5480,"thousands"
"catch.n","7",1986,"unique","all","unique","1",2256,"thousands"
"catch.n","8",1986,"unique","all","unique","1",109,"thousands"
"catch.n","9",1986,"unique","all","unique","1",281,"thousands"
"catch.n","10",1986,"unique","all","unique","1",1671,"thousands"
"catch.n","1",1987,"unique","all","unique","1",93,"thousands"
"catch.n","2",1987,"unique","all","unique","1",28896,"thousands"
"catch.n","3",1987,"unique","all","unique","1",21927,"thousands"
"catch.n","4",1987,"unique","all","unique","1",8851,"thousands"
"catch.n","5",1987,"unique","all","unique","1",6477,"thousands"
"catch.n","6",1987,"unique","all","unique","1",3102,"thousands"
"catch.n","7",1987,"unique","all","unique","1",1559,"thousands"
"catch.n","8",1987,"unique","all","unique","1",898,"thousands"
"catch.n","9",1987,"unique","all","unique","1",81,"thousands"
"catch.n","10",1987,"unique","all","unique","1",690,"thousands"
"catch.n","1",1988,"unique","all","unique","1",10,"thousands"
"catch.n","2",1988,"unique","all","unique","1",13206,"thousands"
"catch.n","3",1988,"unique","all","unique","1",47135,"thousands"
"catch.n","4",1988,"unique","all","unique","1",15217,"thousands"
"catch.n","5",1988,"unique","all","unique","1",4377,"thousands"
"catch.n","6",1988,"unique","all","unique","1",3878,"thousands"
"catch.n","7",1988,"unique","all","unique","1",1549,"thousands"
"catch.n","8",1988,"unique","all","unique","1",890,"thousands"
"catch.n","9",1988,"unique","all","unique","1",523,"thousands"
"catch.n","10",1988,"unique","all","unique","1",317,"thousands"
"catch.n","1",1989,"unique","all","unique","1",115,"thousands"
"catch.n","2",1989,"unique","all","unique","1",45652,"thousands"
"catch.n","3",1989,"unique","all","unique","1",17973,"thousands"
"catch.n","4",1989,"unique","all","unique","1",22295,"thousands"
"catch.n","5",1989,"unique","all","unique","1",4551,"thousands"
"catch.n","6",1989,"unique","all","unique","1",1627,"thousands"
"catch.n","7",1989,"unique","all","unique","1",1414,"thousands"
"catch.n","8",1989,"unique","all","unique","1",637,"thousands"
"catch.n","9",1989,"unique","all","unique","1",451,"thousands"
"catch.n","10",1989,"unique","all","unique","1",459,"thousands"
"catch.n","1",1990,"unique","all","unique","1",854,"thousands"
"catch.n","2",1990,"unique","all","unique","1",11816,"thousands"
"catch.n","3",1990,"unique","all","unique","1",103380,"thousands"
"catch.n","4",1990,"unique","all","unique","1",9667,"thousands"
"catch.n","5",1990,"unique","all","unique","1",9099,"thousands"
"catch.n","6",1990,"unique","all","unique","1",3315,"thousands"
"catch.n","7",1990,"unique","all","unique","1",1032,"thousands"
"catch.n","8",1990,"unique","all","unique","1",1186,"thousands"
"catch.n","9",1990,"unique","all","unique","1",548,"thousands"
"catch.n","10",1990,"unique","all","unique","1",837,"thousands"
"catch.n","1",1991,"unique","all","unique","1",118,"thousands"
"catch.n","2",1991,"unique","all","unique","1",12938,"thousands"
"catch.n","3",1991,"unique","all","unique","1",24985,"thousands"
"catch.n","4",1991,"unique","all","unique","1",76580,"thousands"
"catch.n","5",1991,"unique","all","unique","1",6609,"thousands"
"catch.n","6",1991,"unique","all","unique","1",3612,"thousands"
"catch.n","7",1991,"unique","all","unique","1",1706,"thousands"
"catch.n","8",1991,"unique","all","unique","1",707,"thousands"
"catch.n","9",1991,"unique","all","unique","1",718,"thousands"
"catch.n","10",1991,"unique","all","unique","1",1072,"thousands"
"catch.n","1",1992,"unique","all","unique","1",965,"thousands"
"catch.n","2",1992,"unique","all","unique","1",6730,"thousands"
"catch.n","3",1992,"unique","all","unique","1",43713,"thousands"
"catch.n","4",1992,"unique","all","unique","1",15961,"thousands"
"catch.n","5",1992,"unique","all","unique","1",37745,"thousands"
"catch.n","6",1992,"unique","all","unique","1",2440,"thousands"
"catch.n","7",1992,"unique","all","unique","1",2995,"thousands"
"catch.n","8",1992,"unique","all","unique","1",730,"thousands"
"catch.n","9",1992,"unique","all","unique","1",393,"thousands"
"catch.n","10",1992,"unique","all","unique","1",1163,"thousands"
"catch.n","1",1993,"unique","all","unique","1",53,"thousands"
"catch.n","2",1993,"unique","all","unique","1",49870,"thousands"
"catch.n","3",1993,"unique","all","unique","1",16575,"thousands"
"catch.n","4",1993,"unique","all","unique","1",31047,"thousands"
"catch.n","5",1993,"unique","all","unique","1",13709,"thousands"
"catch.n","6",1993,"unique","all","unique","1",23758,"thousands"
"catch.n","7",1993,"unique","all","unique","1",1472,"thousands"
"catch.n","8",1993,"unique","all","unique","1",1170,"thousands"
"catch.n","9",1993,"unique","all","unique","1",456,"thousands"
"catch.n","10",1993,"unique","all","unique","1",833,"thousands"
"catch.n","1",1994,"unique","all","unique","1",709,"thousands"
"catch.n","2",1994,"unique","all","unique","1",7710,"thousands"
"catch.n","3",1994,"unique","all","unique","1",86349,"thousands"
"catch.n","4",1994,"unique","all","unique","1",13387,"thousands"
"catch.n","5",1994,"unique","all","unique","1",18513,"thousands"
"catch.n","6",1994,"unique","all","unique","1",5642,"thousands"
"catch.n","7",1994,"unique","all","unique","1",11174,"thousands"
"catch.n","8",1994,"unique","all","unique","1",458,"thousands"
"catch.n","9",1994,"unique","all","unique","1",905,"thousands"
"catch.n","10",1994,"unique","all","unique","1",897,"thousands"
"catch.n","1",1995,"unique","all","unique","1",4766,"thousands"
"catch.n","2",1995,"unique","all","unique","1",12674,"thousands"
